ticker,cik,name,mcap_usd,mcap_bucket,sources,reasons,time_state,state_note,time_state_v50,state_note_v50,ctgov_upcoming_count,adcom_upcoming_count
AMLX,0001658551,"Amylyx Pharmaceuticals, Inc.",2327805388,1B-5B,a_readout|b_ctgov,결과 발표 D-day 2026-08-18 · dir=positive · kw=primary endpoint|topline || 결과 발표 D-day 2026-08-18 · dir=positive · kw=primary endpoint|topline || 결과 발표 D-day 2026-08-06 · dir=positive · kw=pivotal|topline || H6 최근 상위 3분위 테마 obesity_glp1 소속 (CT.gov 활동 근사 · 2024Q4) || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2018Q2),B,발표 후 27일 (2026-08-18 · dir=positive),A,CT.gov NCT06665165 완료 예정 D-154 (2027-02 · PHASE1),1,0
AUPH,0001600620,Aurinia Pharmaceuticals Inc.,2290813319,1B-5B,a_readout|b_ctgov,결과 발표 D-day 2026-08-06 · dir=unclassified · kw=primary endpoint || H6 최근 상위 3분위 테마 hair_loss 소속 (CT.gov 활동 근사 · 2017Q1) || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2026Q2),C,,C,,0,0
AVIR,0001593899,"Atea Pharmaceuticals, Inc.",466791361,300M-1B,a_readout|b_ctgov,결과 발표 D-day 2026-08-13 · dir=unclassified · kw=phase 3 results|pivotal|primary endpoint || H6 최근 상위 3분위 테마 obesity_glp1 소속 (CT.gov 활동 근사 · 2020Q2),C,,A,CT.gov NCT06868264 완료 예정 D-1 (2026-09 · PHASE3),2,0
BIOA,0001709941,"BioAge Labs, Inc.",324869799,300M-1B,a_readout|b_ctgov,결과 발표 D-day 2026-08-06 · dir=unclassified · kw=primary endpoint|topline || H6 최근 상위 3분위 테마 obesity_glp1 소속 (CT.gov 활동 근사 · 2026Q2),C,,A,CT.gov NCT07656727 완료 예정 D-77 (2026-11-30 · PHASE2),1,0
FBRX,0001419041,"Forte Biosciences, Inc.",2793333626,1B-5B,a_readout|b_ctgov,결과 발표 D-day 2026-07-09 · dir=positive · kw=primary endpoint || H6 최근 상위 3분위 테마 hair_loss 소속 (CT.gov 활동 근사 · 2025Q4),C,,A,CT.gov NCT06905873 완료 예정 D-108 (2026-12-31 · PHASE1),4,0
LRMR,0001374690,"Larimar Therapeutics, Inc.",168171730,50M-300M,a_readout|b_ctgov,결과 발표 D-day 2026-08-04 · dir=unclassified · kw=top-line || 결과 발표 D-day 2026-06-29 · dir=unclassified · kw=pivotal || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2024Q2),C,,A,CT.gov NCT06447025 완료 예정 D-123 (2027-01 · PHASE2),1,0
NGNE,0001404644,Neurogene Inc.,1655645971,1B-5B,a_readout|b_ctgov,결과 발표 D-day 2026-08-11 · dir=unclassified · kw=pivotal|primary endpoint|topline || 결과 발표 D-day 2026-06-29 · dir=unclassified · kw=pivotal|primary endpoint|topline || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2019Q1),C,,C,,0,0
QTTB,0001661998,Q32 Bio Inc.,152697960,50M-300M,a_readout|b_ctgov,결과 발표 D-day 2026-08-05 · dir=unclassified · kw=phase 3 results|phase 3 topline|primary  || 결과 발표 D-day 2026-07-13 · dir=unclassified · kw=primary endpoint|topline || 결과 발표 D-day 2026-07-13 · dir=unclassified · kw=primary endpoint|topline || H6 최근 상위 3분위 테마 hair_loss 소속 (CT.gov 활동 근사 · 2023Q3),C,,C,,0,0
RCKT,0001281895,"ROCKET PHARMACEUTICALS, INC.",416045718,300M-1B,a_readout|b_ctgov,결과 발표 D-day 2026-08-11 · dir=unclassified · kw=pivotal || 결과 발표 D-day 2026-08-03 · dir=unclassified · kw=pivotal || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2020Q2) || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2026Q2),C,,C,,0,0
RGNX,0001590877,REGENXBIO Inc.,404726207,300M-1B,a_readout|b_ctgov,결과 발표 D-day 2026-08-25 · dir=unclassified · kw=pivotal|topline || 결과 발표 D-day 2026-08-06 · dir=positive · kw=pivotal|primary endpoint|topline || 결과 발표 D-day 2026-06-29 · dir=unclassified · kw=pivotal|primary endpoint|topline || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2020Q4),B,발표 후 20일 (2026-08-25 · dir=unclassified),A,CT.gov NCT05693142 완료 예정 D-1 (2026-09 · PHASE2|PHASE3),1,0
TVTX,0001438533,"Travere Therapeutics, Inc.",4226231732,1B-5B,a_readout|b_ctgov,결과 발표 D-day 2026-08-05 · dir=unclassified · kw=pivotal|primary endpoint|topline || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2015Q4) || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2016Q4) || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2018Q1) || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2024Q1),C,,A,CT.gov NCT05003986 완료 예정 D-179 (2027-03-12 · PHASE2),4,0
VSTM,0001526119,"Verastem, Inc.",133361760,50M-300M,a_readout|b_ctgov,결과 발표 D-day 2026-08-07 · dir=unclassified · kw=pivotal|primary endpoint|topline || 결과 발표 D-day 2026-08-07 · dir=unclassified · kw=pivotal|primary endpoint|topline || 결과 발표 D-day 2026-06-24 · dir=unclassified · kw=pivotal|top-line|topline || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2026Q2),C,,A,CT.gov NCT07644559 완료 예정 D-274 (2027-06 · PHASE2),4,0
ALT,0001326190,"Altimmune, Inc.",0,unknown,a_readout|b_ctgov,결과 발표 D-day 2026-08-12 · dir=positive · kw=primary endpoint|topline || 결과 발표 D-day 2026-07-28 · dir=positive · kw=primary endpoint|top-line|topline || H6 최근 상위 3분위 테마 obesity_glp1 소속 (CT.gov 활동 근사 · 2020Q3) || H6 최근 상위 3분위 테마 obesity_glp1 소속 (CT.gov 활동 근사 · 2021Q3) || H6 최근 상위 3분위 테마 obesity_glp1 소속 (CT.gov 활동 근사 · 2021Q4),C,,C,,0,0
SGMT,0001400118,Sagimet Biosciences Inc.,0,unknown,a_readout|b_ctgov,결과 발표 D-day 2026-08-11 · dir=positive · kw=primary endpoint|topline || 결과 발표 D-day 2026-07-21 · dir=positive · kw=primary endpoint|topline || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2021Q2) || H6 최근 상위 3분위 테마 control_nash 소속 (CT.gov 활동 근사 · 2019Q2) || H6 최근 상위 3분위 테마 control_nash 소속 (CT.gov 활동 근사 · 2021Q2),C,,A,CT.gov NCT06989840 완료 예정 D-123 (2027-01 · PHASE1),1,0
VERU,0000863894,VERU INC.,0,unknown,a_readout|b_ctgov,결과 발표 D-day 2026-08-10 · dir=unclassified · kw=topline || H6 최근 상위 3분위 테마 obesity_glp1 소속 (CT.gov 활동 근사 · 2026Q1),C,,C,,0,0
ABCL,0001703057,AbCellera Biologics Inc.,3364844814,1B-5B,a_readout,결과 발표 D-day 2026-08-10 · dir=positive · kw=phase 2 results|top-line || 결과 발표 D-day 2026-08-08 · dir=unclassified · kw=top-line || 결과 발표 D-day 2026-08-06 · dir=unclassified · kw=top-line,C,,A,CT.gov NCT07118891 완료 예정 D-154 (2027-02 · PHASE1|PHASE2),2,0
ABOS,0001576885,"Acumen Pharmaceuticals, Inc.",125062400,50M-300M,a_readout,결과 발표 D-day 2026-08-12 · dir=unclassified · kw=phase 2 topline|pivotal|topline || 결과 발표 D-day 2026-06-16 · dir=unclassified · kw=topline,C,,C,,0,0
ACAD,0001070494,ACADIA PHARMACEUTICALS INC,4800431836,1B-5B,a_readout,결과 발표 D-day 2026-08-05 · dir=unclassified · kw=phase 2 results|topline,C,,A,CT.gov NCT07284667 완료 예정 D-335 (2027-08 · PHASE2),1,0
ACRS,0001557746,"Aclaris Therapeutics, Inc.",367338012,300M-1B,b_ctgov,H6 최근 상위 3분위 테마 hair_loss 소속 (CT.gov 활동 근사 · 2017Q4) || H6 최근 상위 3분위 테마 hair_loss 소속 (CT.gov 활동 근사 · 2018Q2) || H6 최근 상위 3분위 테마 hair_loss 소속 (CT.gov 활동 근사 · 2018Q3) || H6 최근 상위 3분위 테마 hair_loss 소속 (CT.gov 활동 근사 · 2018Q4),C,,C,,0,0
AGEN,0001098972,AGENUS INC,2118947747,1B-5B,a_readout,결과 발표 D-day 2026-08-06 · dir=unclassified · kw=primary endpoint || 결과 발표 D-day 2026-07-13 · dir=unclassified · kw=pivotal|primary endpoint|topline,C,,C,,0,0
AGIO,0001439222,"AGIOS PHARMACEUTICALS, INC.",1851678298,1B-5B,b_ctgov,H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2022Q1),C,,C,,0,0
ALEC,0001653087,"Alector, Inc.",245810837,50M-300M,b_ctgov,H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2018Q3) || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2020Q2) || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2023Q4) || H6 최근 상위 3분위 테마 control_amyloid 소속 (CT.gov 활동 근사 · 2023Q1),C,,C,,0,0
ANNX,0001528115,"Annexon, Inc.",722915974,300M-1B,a_readout,결과 발표 D-day 2026-08-12 · dir=unclassified · kw=pivotal|primary endpoint|topline || 결과 발표 D-day 2026-08-11 · dir=unclassified · kw=pivotal || 결과 발표 D-day 2026-08-06 · dir=unclassified · kw=phase 3 results,C,,A,CT.gov NCT06510816 완료 예정 D-47 (2026-10-31 · PHASE3),2,0
ARDX,0001437402,"ARDELYX, INC.",573697989,300M-1B,a_readout,결과 발표 D-day 2026-08-07 · dir=unclassified · kw=top-line|topline,C,,C,,0,0
ASMB,0001426800,"ASSEMBLY BIOSCIENCES, INC.",1700893939,1B-5B,a_readout,결과 발표 D-day 2026-08-15 · dir=unclassified · kw=topline,B,발표 후 30일 (2026-08-15 · dir=unclassified),B,발표 후 30일 (2026-08-15 · dir=unclassified),0,0
ATRA,0001604464,"Atara Biotherapeutics, Inc.",95659373,50M-300M,a_readout,결과 발표 D-day 2026-08-13 · dir=unclassified · kw=pivotal,C,,C,,0,0
AVBP,0001868279,"ArriVent BioPharma, Inc.",85192246,50M-300M,b_ctgov,H6 최근 상위 3분위 테마 hair_loss 소속 (CT.gov 활동 근사 · 2022Q4),C,,A,CT.gov NCT07755436 완료 예정 D-335 (2027-08 · PHASE1),1,0
BCRX,0000882796,BIOCRYST PHARMACEUTICALS INC,2578349248,1B-5B,a_readout,결과 발표 D-day 2026-08-05 · dir=unclassified · kw=pivotal|top-line || 결과 발표 D-day 2026-06-29 · dir=unclassified · kw=pivotal|top-line,C,,C,,0,0
BDTX,0001701541,"Black Diamond Therapeutics, Inc.",120652863,50M-300M,a_readout,결과 발표 D-day 2026-08-06 · dir=unclassified · kw=phase 2 results|pivotal,C,,C,,0,0
BMEA,0001840439,"Biomea Fusion, Inc.",56462567,50M-300M,b_ctgov,H6 최근 상위 3분위 테마 obesity_glp1 소속 (CT.gov 활동 근사 · 2025Q4) || H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2026Q1),C,,A,CT.gov NCT07502495 완료 예정 D-182 (2027-03 · PHASE2),2,0
CALC,0001534133,"CalciMedica, Inc.",75111213,50M-300M,a_readout,결과 발표 D-day 2026-08-11 · dir=unclassified · kw=primary endpoint || 결과 발표 D-day 2026-06-25 · dir=unclassified · kw=pivotal|primary endpoint,C,,C,,0,0
CCCC,0001662579,"C4 Therapeutics, Inc.",264002707,50M-300M,a_readout,결과 발표 D-day 2026-08-11 · dir=unclassified · kw=primary endpoint,C,,A,CT.gov NCT04756726 완료 예정 D-16 (2026-09-30 · PHASE1),1,0
COGT,0001622229,"Cogent Biosciences, Inc.",2298251446,1B-5B,a_readout,결과 발표 D-day 2026-08-10 · dir=positive · kw=pivotal|primary endpoint,C,,A,CT.gov NCT06777316 완료 예정 D-182 (2027-03 · PHASE1|PHASE2),1,0
