publication_date,meeting_date,committee,sponsor_raw,drug_raw,mapped_ticker,mapped_name,eligible,exclusion_reason,document_number,html_url,title
2021-01-08,2021-02-08,,,,,,True,,2021-00122,https://www.federalregister.gov/documents/2021/01/08/2021-00122/request-for-nominations-on-the-national-mammography-quality-assurance-advisory-committee,Request for Nominations on the National Mammography Quality Assurance Advisory Committee
2021-01-08,2021-01-29,Psychopharmacologic Drugs Advisory Committee,,,,,True,,2021-00124,https://www.federalregister.gov/documents/2021/01/08/2021-00124/request-for-nominations-for-individuals-and-consumer-organizations-for-advisory-committees,Request for Nominations for Individuals and Consumer Organizations for Advisory Committees
2021-01-13,2021-02-17,,,,,,True,,2021-00469,https://www.federalregister.gov/documents/2021/01/13/2021-00469/circulatory-system-devices-panel-of-the-medical-devices-advisory-committee-notice-of-meeting,Circulatory System Devices Panel of the Medical Devices Advisory Committee; Notice of Meeting
2021-01-19,2021-03-22,,,,,,True,,2021-00597,https://www.federalregister.gov/documents/2021/01/19/2021-00597/securing-updated-and-necessary-statutory-evaluations-timely,Securing Updated and Necessary Statutory Evaluations Timely
2021-02-11,2021-02-26,Vaccines and Related Biological Products Advisory Committee,,,,,True,,2021-02845,https://www.federalregister.gov/documents/2021/02/11/2021-02845/vaccines-and-related-biological-products-advisory-committee-notice-of-meeting-establishment-of-a,Vaccines and Related Biological Products Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2021-02-16,2021-03-05,Vaccines and Related Biological Products Advisory Committee,,,,,True,,2021-03014,https://www.federalregister.gov/documents/2021/02/16/2021-03014/vaccines-and-related-biological-products-advisory-committee-notice-of-meeting-establishment-of-a,Vaccines and Related Biological Products Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2021-02-16,2021-03-23,,,,,,True,,2021-03066,https://www.federalregister.gov/documents/2021/02/16/2021-03066/general-and-plastic-surgery-devices-panel-of-the-medical-devices-advisory-committee-notice-of,"General and Plastic Surgery Devices Panel of the Medical Devices Advisory Committee, Notice of Meeting"
2021-02-16,2021-03-24,,,,,,True,,2021-03068,https://www.federalregister.gov/documents/2021/02/16/2021-03068/joint-meeting-of-the-arthritis-advisory-committee-and-the-drug-safety-and-risk-management-advisory,Joint Meeting of the Arthritis Advisory Committee and the Drug Safety and Risk Management Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2021-02-18,,,,,,,False,no_meeting_date,2021-03239,https://www.federalregister.gov/documents/2021/02/18/2021-03239/advisory-committee-technical-electronic-product-radiation-safety-standards-committee-renewal,Advisory Committee; Technical Electronic Product Radiation Safety Standards Committee; Renewal
2021-03-03,2021-04-06,,,,,,True,,2021-04371,https://www.federalregister.gov/documents/2021/03/03/2021-04371/circulatory-system-devices-panel-of-the-medical-devices-advisory-committee-notice-of-meeting,Circulatory System Devices Panel of the Medical Devices Advisory Committee; Notice of Meeting
2021-03-04,2021-04-05,,,,,,True,,2021-04450,https://www.federalregister.gov/documents/2021/03/04/2021-04450/request-for-nominations-on-device-good-manufacturing-practice-advisory-committee,Request for Nominations on Device Good Manufacturing Practice Advisory Committee
