ticker,ticker_source,target_cik,target_name,sic,sic_biotech,institutions,sc13d_new,sc13g_new,form4_all,form_amendment_count,form_other_count,total_events,first_event_date,accession_first_event,listing_status,form25_accession,form25_date
SPRY,submissions.tickers,0001671858,"ARS Pharmaceuticals, Inc.",2834,True,OrbiMed;RA Capital,1,0,0,4,0,1,2023-08-31,0001104659-23-097323,ACTIVE,,
TYRA,submissions.tickers,0001863127,"Tyra Biosciences, Inc.",2834,True,RA Capital,1,0,0,5,0,1,2021-09-27,0001104659-21-119792,ACTIVE,,
PEPG,submissions.tickers,0001835597,PepGen Inc.,2834,True,RA Capital,1,0,0,3,0,1,2022-05-20,0001104659-22-063397,ACTIVE,,
MLYS,submissions.tickers,0001933414,"Mineralys Therapeutics, Inc.",2834,True,RA Capital,1,0,0,1,0,1,2023-02-24,0001104659-23-025333,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001610618,"Cidara Therapeutics, Inc.",2836,True,RA Capital,1,0,0,1,0,1,2024-07-25,0001104659-24-082640,DELISTED,0001354457-26-000017,2026-01-07
ARTV,submissions.tickers,0001817241,"Artiva Biotherapeutics, Inc.",2836,True,RA Capital,1,0,0,1,0,1,2024-07-29,0001104659-24-083555,ACTIVE,,
SEPN,submissions.tickers,0001984086,"Septerna, Inc.",2834,True,RA Capital,1,0,0,0,0,1,2024-11-04,0001104659-24-113930,ACTIVE,,
ACRV,submissions.tickers,0001781174,"Acrivon Therapeutics, Inc.",2834,True,Perceptive;RA Capital,1,1,0,5,0,2,2022-11-18,0001193125-22-289031,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001645569,"DICE Therapeutics, Inc.",2834,True,RA Capital,1,0,0,4,0,1,2021-09-27,0001104659-21-119800,DELISTED,0001354457-23-000569,2023-08-09
BCAX,submissions.tickers,0002023658,Bicara Therapeutics Inc.,2834,True,RA Capital,1,0,0,0,0,1,2024-09-23,0001104659-24-102048,ACTIVE,,
LENZ,submissions.tickers,0001815776,"LENZ Therapeutics, Inc.",2836,True,RA Capital,1,0,0,0,0,1,2024-03-28,0001104659-24-040539,ACTIVE,,
CTKB,submissions.tickers,0001831915,"Cytek Biosciences, Inc.",3826,False,RA Capital,0,1,0,3,0,1,2024-02-22,0001104659-24-026668,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001785173,"89bio, Inc.",2834,True,Deep Track;OrbiMed;RA Capital,0,1,0,12,0,1,2022-07-06,0001172661-22-001557,DELISTED,0001354457-25-001073,2025-10-30
CLYM,submissions.tickers,0001768446,"Climb Bio, Inc.",2834,True,Deep Track;RA Capital,0,1,0,8,0,1,2024-07-02,0001172661-24-002631,ACTIVE,,
JBIO,submissions.tickers,0001798749,"Jade Biosciences, Inc.",2834,True,Baker Bros;RA Capital,0,1,0,6,0,1,2022-02-14,0001104659-22-022817,ACTIVE,,
NKTX,submissions.tickers,0001787400,"Nkarta, Inc.",2834,True,Deep Track;RA Capital,0,1,0,3,0,1,2022-02-18,0001172661-22-000996,ACTIVE,,
KALA,submissions.tickers,0001479419,"KALA BIO, Inc.",2834,True,Baker Bros;OrbiMed;RA Capital,1,1,0,7,0,2,2023-02-14,0001104659-23-021484,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001692830,"Satsuma Pharmaceuticals, Inc.",2834,True,RA Capital,0,0,0,3,0,0,,,DELISTED,0001354457-23-000385,2023-06-08
VOR,submissions.tickers,0001817229,Vor Biopharma Inc.,2836,True,RA Capital,0,0,0,3,0,0,,,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001538927,"Forma Therapeutics Holdings, Inc.",2836,True,Deep Track;RA Capital,0,1,0,4,0,1,2022-06-03,0001172661-22-001526,DELISTED,0001354457-22-000574,2022-10-14
CNTB,submissions.tickers,0001835268,Connect Biopharma Holdings Ltd,2834,True,RA Capital,0,0,0,4,0,0,,,ACTIVE,,
WVE,submissions.tickers,0001631574,"Wave Life Sciences, Inc.",2834,True,RA Capital,0,0,0,3,0,0,,,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001786255,"Icosavax, Inc.",2836,True,RA Capital,0,0,0,2,0,0,,,DELISTED,0001354457-24-000098,2024-02-20
,미복구 · no 10-K/10-Q found,0001830749,Achilles Therapeutics plc,2836,True,Baker Bros;RA Capital;Redmile,0,2,0,7,0,2,2022-02-14,0001104659-22-022800,DELISTED,0001193125-25-051423,2025-03-11
BDTX,submissions.tickers,0001701541,"Black Diamond Therapeutics, Inc.",2836,True,RA Capital,0,0,0,1,0,0,,,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001811764,POINT Biopharma Global Inc.,2834,True,Perceptive;RA Capital,0,0,0,5,0,0,,,DELISTED,0001354457-23-001006,2023-12-27
ABOS,submissions.tickers,0001576885,"Acumen Pharmaceuticals, Inc.",2836,True,Deep Track;RA Capital,0,1,0,4,0,1,2022-01-27,0001172661-22-000196,ACTIVE,,
HOWL,submissions.tickers,0001785530,"Werewolf Therapeutics, Inc.",2834,True,RA Capital,0,0,0,4,0,0,,,ACTIVE,,
JANX,submissions.tickers,0001817713,"Janux Therapeutics, Inc.",2834,True,OrbiMed;RA Capital,0,0,0,6,0,0,,,ACTIVE,,
SLDB,submissions.tickers,0001707502,Solid Biosciences Inc.,2836,True,Perceptive;RA Capital,0,0,0,10,0,0,,,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001808865,"iTeos Therapeutics, Inc.",2836,True,RA Capital,0,0,0,2,0,0,,,DELISTED,0001354457-25-000857,2025-08-29
FTH,submissions.tickers,0001829802,"Faeth Therapeutics, Inc.",2834,True,RA Capital,0,0,0,1,0,0,,,ACTIVE,,
EWTX,submissions.tickers,0001710072,"Edgewise Therapeutics, Inc.",2834,True,Baker Bros;Deep Track;OrbiMed;RA Capital,0,4,0,5,0,4,2022-02-14,0001104659-22-022778,ACTIVE,,
VXRT,submissions.tickers,0000072444,"Vaxart, Inc.",2836,True,RA Capital,0,1,0,0,0,1,2024-01-19,0001104659-24-005241,DELISTED,0001354457-25-001171,2025-11-21
,미복구 · no 10-K/10-Q found,0001042074,"CymaBay Therapeutics, Inc.",2834,True,Perceptive;RA Capital,0,2,0,1,0,2,2023-03-10,0001193125-23-067374,DELISTED,0001354457-24-000200,2024-03-22
EVH,submissions.tickers,0001628908,"Evolent Health, Inc.",8741,False,RA Capital,0,1,0,0,0,1,2024-06-17,0001104659-24-072466,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001599901,"Avidity Biosciences, Inc.",2834,True,RA Capital,0,2,0,2,0,2,2022-12-30,0001104659-22-131370,DELISTED,0001354457-26-000224,2026-02-27
DNTH,submissions.tickers,0001690585,"Dianthus Therapeutics, Inc. /DE/",2834,True,Deep Track;RA Capital,0,2,0,4,0,2,2022-09-26,0001104659-22-103011,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001626199,"ALPINE IMMUNE SCIENCES, INC.",2834,True,OrbiMed;RA Capital,0,1,0,6,0,1,2022-10-03,0001104659-22-105295,DELISTED,0001354457-24-000354,2024-05-20
,미복구 · no 10-K/10-Q found,0001827506,"Tourmaline Bio, Inc.",2836,True,Deep Track;RA Capital,0,3,0,3,0,3,2023-07-06,0001104659-23-078764,DELISTED,0001354457-25-001066,2025-10-28
LAB,submissions.tickers,0001162194,STANDARD BIOTOOLS INC.,2834,True,OrbiMed;RA Capital,0,1,0,2,0,1,2022-03-24,0001104659-22-037517,DELISTED,0001571049-17-007165,2017-08-02
,미복구 · no 10-K/10-Q found,0001493566,"OTONOMY, INC.",2834,True,Baker Bros;OrbiMed;RA Capital,0,1,0,6,0,1,2021-10-25,0001104659-21-129528,DELISTED,0001354457-22-000800,2022-12-29
RLMD,submissions.tickers,0001553643,"RELMADA THERAPEUTICS, INC.",2834,True,Deep Track;Perceptive;RA Capital,0,3,0,5,0,3,2021-12-20,0001104659-21-151724,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001505512,Regulus Therapeutics Inc.,2834,True,Deep Track;RA Capital,0,2,0,1,0,2,2024-03-22,0001172661-24-001694,DELISTED,0001354457-25-000571,2025-06-25
TIL,submissions.tickers,0001789769,"Instil Bio, Inc.",2836,True,Perceptive;RA Capital,0,2,0,1,0,2,2022-06-22,0001104659-22-073528,ACTIVE,,
COGT,submissions.tickers,0001622229,"Cogent Biosciences, Inc.",2834,True,RA Capital,0,1,0,2,0,1,2022-09-06,0001104659-22-097869,ACTIVE,,
URGN,submissions.tickers,0001668243,UroGen Pharma Ltd.,2834,True,RA Capital,0,1,0,2,0,1,2023-12-29,0001104659-23-130500,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001822711,"PARDES BIOSCIENCES, INC.",2834,True,RA Capital,0,1,0,1,0,1,2022-01-10,0001104659-22-002791,DELISTED,0001354457-23-000611,2023-08-31
ANTX,submissions.tickers,0001880438,"AN2 Therapeutics, Inc.",2834,True,RA Capital,0,1,0,3,0,1,2022-04-08,0001104659-22-044249,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001739614,"Inhibrx, Inc.",2836,True,Perceptive;RA Capital,0,2,0,5,0,2,2022-07-19,0001193125-22-196480,DELISTED,0001354457-24-000361,2024-05-30
