ticker,name,mcap,time_state,score,expert,crowd,near,unnoticed,risk,tag_bonus,why_easy
LRMR,"Larimar Therapeutics, Inc.",50M-300M,A,0.806,0.72,0.5,1.0,0.6,0.0,0.1,뉴스 예정 · 2027년 1월 중 (D-108~138 추정 · 월 단위 발표)
BIOA,"BioAge Labs, Inc.",300M-1B,A,0.774,0.61,0.5,0.7,0.88,0.0,0.1,뉴스 예정 · 2026년 11월 30일 예정 · D-77
AMLX,"Amylyx Pharmaceuticals, Inc.",1B-5B,A,0.716,1.0,0.5,1.0,0.12,0.4,0.1,뉴스 예정 · 2027년 2월 중 (D-139~169 추정 · 월 단위 발표)
TVTX,"Travere Therapeutics, Inc.",1B-5B,A,0.716,0.61,0.5,1.0,0.55,0.5,0.1,뉴스 예정 · 2027년 3월 12일 예정 · D-179
SGMT,Sagimet Biosciences Inc.,unknown,A,0.715,0.61,0.5,1.0,0.35,0.0,0.1,뉴스 예정 · 2027년 1월 중 (D-108~138 추정 · 월 단위 발표)
KURA,"Kura Oncology, Inc.",1B-5B,A,0.703,0.83,0.5,1.0,0.49,0.0,0.0,뉴스 예정 · 2026년 12월 중 (D-77~107 추정 · 월 단위 발표)
RGNX,REGENXBIO Inc.,300M-1B,A,0.683,0.61,0.5,0.7,0.52,0.0,0.1,뉴스 예정 · 2026년 9월 중 (D-0~16 추정 · 월 단위 발표)
VRCA,Verrica Pharmaceuticals Inc.,50M-300M,A,0.676,1.0,0.5,0.5,0.7,0.0,0.0,뉴스 예정 · 2027년 5월 중 (D-228~258 추정 · 월 단위 발표)
EWTX,"Edgewise Therapeutics, Inc.",1B-5B,A,0.673,0.93,0.5,0.7,0.56,0.0,0.0,뉴스 예정 · 2026년 9월 중 (D-0~16 추정 · 월 단위 발표)
NRIX,"Nurix Therapeutics, Inc.",1B-5B,A,0.668,0.72,0.5,1.0,0.45,0.0,0.0,뉴스 예정 · 2027년 1월 중 (D-108~138 추정 · 월 단위 발표)
SYRE,"Spyre Therapeutics, Inc.",300M-1B,A,0.639,0.72,0.5,0.7,0.64,0.0,0.0,뉴스 예정 · 2026년 10월 31일 예정 · D-47
FBRX,"Forte Biosciences, Inc.",1B-5B,A,0.605,0.72,0.5,1.0,0.0,0.5,0.1,뉴스 예정 · 2026년 12월 31일 예정 · D-108
AVIR,"Atea Pharmaceuticals, Inc.",300M-1B,A,0.602,0.51,0.5,0.7,0.5,0.5,0.1,뉴스 예정 · 2026년 9월 중 (D-0~16 추정 · 월 단위 발표)
OCUL,"OCULAR THERAPEUTIX, INC",300M-1B,A,0.592,0.29,0.5,1.0,0.58,0.0,0.0,뉴스 예정 · 2027년 1월 8일 예정 · D-116
STOK,"Stoke Therapeutics, Inc.",1B-5B,A,0.591,0.72,0.5,0.5,0.64,0.0,0.0,뉴스 예정 · 2027년 3월 중 (D-167~197 추정 · 월 단위 발표)
